,precision,recall,f1-score,support
Cezanne,0.38095238095238093,0.24242424242424243,0.2962962962962963,99.0
Degas,0.37209302325581395,0.32323232323232326,0.3459459459459459,99.0
Gauguin,0.39603960396039606,0.40404040404040403,0.39999999999999997,99.0
Hassam,0.30405405405405406,0.45454545454545453,0.3643724696356275,99.0
Matisse,0.4625,0.37373737373737376,0.4134078212290503,99.0
Monet,0.5131578947368421,0.3939393939393939,0.44571428571428573,99.0
Pissarro,0.4594594594594595,0.5151515151515151,0.48571428571428577,99.0
Renoir,0.4015748031496063,0.5151515151515151,0.4513274336283186,99.0
Sargent,0.42857142857142855,0.3939393939393939,0.4105263157894737,99.0
VanGogh,0.411214953271028,0.4444444444444444,0.4271844660194174,99.0
accuracy,0.40606060606060607,0.40606060606060607,0.40606060606060607,0.40606060606060607
macro avg,0.412961760141101,0.40606060606060607,0.40404893199727016,990.0
weighted avg,0.4129617601411009,0.40606060606060607,0.40404893199727004,990.0
